Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS,SHARES_OWNED_INSTN_REIT,SHARES_OWNED_INSTN_UNCLASSIFIED,SHARES_OWNED_INSTN_UNION_PENSION_SPONSORS,SHARES_OWNED_INSTN_HEDGE_FUND_MGRS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_SOVEREIGN_WEALTH_FUNDS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_VC/PE_FIRMS_LESS5PCT_STAKE,SHARES_OWNED_STRATEGIC_HEDGE_FUND_MGRS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_VC/PE_FIRMS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_SOVEREIGN_WEALTH_FUNDS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_COMPANY_CONTROLLED_FOUNDATIONS,SHARES_OWNED_STRATEGIC_ESOP,SHARES_OWNED_STRATEGIC_STATE_OWNER,SHARES_OWNED_STRATEGIC_CORPORATIONS_PRIVATE,SHARES_OWNED_STRATEGIC_CORPORATIONS_PUBLIC
"Hwaseung Enterprise Co., Ltd.",KOSE:A241590,"172,630","16,992,361","495,926",NA,NA,NA,NA,"5,257,267",NA,"1,682,129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43,424,285"
JNBY Design Limited,SEHK:3306,"323,902,000","161,501,800","602,844",NA,NA,NA,NA,NA,NA,"51,377,809",NA,NA,NA,"44,800",NA,"4,500",NA,NA,NA,NA,NA,NA,"16,607,200",NA
Yue Yuen Industrial (Holdings) Limited,SEHK:551,"1,425,000","786,602,151","-1,806,557",NA,NA,NA,"34,000","275,439",NA,"249,083,260",NA,NA,NA,"1,061,752",NA,"26,500",NA,NA,NA,NA,NA,NA,NA,"824,143,835"
Digiworld Corporation,HOSE:DGW,"90,147","166,966,127","238,200",NA,NA,NA,NA,NA,NA,"17,784,752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHA Corporation Public Company Limited,SET:WHA,"4,832,734,984","10,114,099,695","95,997,752",NA,NA,NA,NA,NA,NA,"2,229,355,118",NA,NA,NA,"19,158,326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aztech Global Ltd.,SGX:8AZ,"545,157,600","218,068,845","3,310,082",NA,NA,NA,NA,NA,NA,"16,836,357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,726,500","3,000,000"
Aarti Pharmalabs Limited,NSEI:AARTIPHARM,"25,517,983","46,167,744",NA,NA,NA,NA,NA,NA,NA,"14,627,900",NA,NA,NA,"1,759,209",NA,NA,NA,NA,NA,NA,NA,"322,520","18,610,262","7,500"
AEON Thana Sinsap (Thailand) Public Company Limited,SET:AEONTS,"14,900,200","77,299,800","13,447,670",NA,NA,NA,NA,NA,"2,441,600","17,856,805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"157,800,000"
Granules India Limited,BSE:532482,"104,020,908","134,241,313","5,523,789",NA,NA,NA,NA,NA,NA,"62,581,636","208,000",NA,NA,"3,054,483",NA,NA,NA,NA,NA,NA,NA,"311,249","3,795,246",NA
CIMB Group Holdings Berhad,KLSE:CIMB,"1,464,226","7,045,447,976","102,099,858",NA,"100,350,785",NA,NA,"2,140,193,616",NA,"1,646,553,053",NA,NA,NA,"4,807,467","213,093,338","14,875,517",NA,NA,"3,569,318,095",NA,NA,"48,871,403",NA,NA
Ho Chi Minh City Securities Corporation,HOSE:HCM,"552,000","524,458,265",NA,NA,NA,NA,NA,NA,NA,"28,529,771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"655,552",NA
"Dentium CO., LTD",KOSE:A145720,"2,089,820","6,521,253","169,880",NA,NA,NA,NA,"1,103,247",NA,"1,209,330",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,"8,320",NA,"4,498",NA
Vietnam International Commercial Joint Stock Bank,HOSE:VIB,"412,910,379","2,005,187,155",NA,NA,NA,NA,NA,NA,NA,"38,746,895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"118,710,000",NA
SG Capital Public Company Limited,SET:SGC,"1,323,344","586,101,738","4,528,116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14,812,200","2,667,762,718"
"F&F Co., Ltd",KOSE:A383220,"11,046,160","14,933,741","789,841",NA,NA,NA,NA,"2,883,645",NA,"5,323,544",NA,NA,NA,"10,350",NA,175,NA,NA,NA,NA,NA,NA,NA,"12,162,840"
Emperador Inc.,PSE:EMI,"161,208","1,667,202,492",NA,NA,NA,NA,NA,NA,NA,"191,555,554",NA,NA,NA,"60,500",NA,NA,NA,"1,495,667,038",NA,NA,NA,NA,NA,"12,573,440,500"
"Yonghe Medical Group Co., Ltd.",SEHK:2279,"206,190,584","125,156,496",NA,NA,"12,000,000",NA,NA,NA,NA,"11,358,300",NA,NA,NA,NA,NA,NA,NA,"183,733,336",NA,NA,NA,NA,NA,NA
Union Auction Public Company Limited,SET:AUCT,"317,537,200","232,462,800",NA,NA,NA,NA,NA,NA,NA,"61,423,343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSI Group, Inc.",PSE:SSI,"1,027,439,031","946,386,020",NA,NA,NA,NA,NA,NA,NA,"32,895,252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,317,352,879",NA
PT Adhi Commuter Properti Tbk,IDX:ADCP,"253,800","2,222,068,400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19,999,900,000"
SM Investments Corporation,PSE:SM,"537,413,179","581,731,398","1,470,578","33,750,000",NA,NA,NA,"505,532",NA,"80,838,975",NA,NA,NA,"35,799",NA,NA,NA,NA,NA,NA,NA,NA,"102,683,800","194,981"
PT Bundamedik Tbk,IDX:BMHS,"1,399,534,700","1,847,034,400",NA,NA,NA,NA,NA,NA,NA,"26,100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,356,847,076",NA
PT Puradelta Lestari Tbk,IDX:DMAS,"44,004,900","8,495,806,200","538,736,387",NA,NA,NA,NA,NA,NA,"626,765,377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39,658,300,000"
"GT Capital Holdings, Inc.",PSE:GTCAP,"885,920","93,795,558","176,494",NA,NA,NA,NA,NA,"11,178","24,887,052",NA,NA,NA,"53,546",NA,"200,000",NA,NA,NA,NA,NA,NA,"120,603,109",NA
IndusInd Bank Limited,NSEI:INDUSINDBK,"2,250,003","624,663,335","49,902,825",NA,"12,988,693",NA,NA,"14,654,757","30,681,073","239,510,905","2,042,500","9,159,482",NA,"37,061,706",NA,"12,908,133",NA,NA,NA,NA,NA,"1,750,276","149,566,073",NA
Heritage Foods Limited,NSEI:HERITGFOOD,"35,073,704","40,867,953","1,113,433",NA,NA,NA,NA,NA,NA,"15,169,303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"750,299","16,104,044",NA
Venture Corporation Limited,SGX:V03,"24,116,237","265,708,240","5,552,531",NA,NA,NA,NA,"703,909",NA,"116,914,903",NA,NA,NA,"514,618",NA,"11,300",NA,NA,NA,NA,NA,NA,"399,000",NA
PT Jobubu Jarum Minahasa TBK,IDX:BEER,"155,675","715,317,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,284,527,325",NA
PT TBS Energi Utama Tbk,IDX:TOBA,"50,559,248","1,481,438,474",NA,NA,NA,NA,NA,NA,NA,"536,184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6,574,702,900",NA
PCBL Limited,NSEI:PCBL,"7,084,990","181,638,700","25,776,016",NA,NA,NA,NA,NA,"4,634,000","48,364,856",NA,NA,NA,"14,840",NA,NA,NA,NA,NA,NA,NA,"12,720,704","173,113,380","2,904,830"
China Education Group Holdings Limited,SEHK:839,"1,544,368,000","1,007,172,490","7,230,094",NA,NA,NA,NA,NA,NA,"377,342,160",NA,NA,NA,"6,089,585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venustech Group Inc.,SZSE:002439,"270,571,837","664,216,232","18,917,600",NA,"5,730,928",NA,NA,"12,324,288","8,796,679","197,700,466",NA,NA,NA,"51,800","11,590,701",NA,NA,"283,109,667",NA,NA,"417,741",NA,"892,043",NA
TOA Paint (Thailand) Public Company Limited,SET:TOA,"913,000,000","507,600,000","546,034",NA,NA,NA,NA,NA,NA,"279,701,001",NA,NA,NA,"282,000",NA,NA,NA,NA,NA,NA,NA,NA,"608,400,000",NA
Johnson Electric Holdings Limited,SEHK:179,"633,014,380","294,328,186","35,292,291",NA,NA,NA,NA,"124,442",NA,"159,738,347",NA,NA,NA,"1,532,573",NA,NA,NA,NA,NA,NA,NA,NA,"27,468",NA
PT Siloam International Hospitals Tbk,IDX:SILO,"55,472,720","1,472,017,948","36,646,400",NA,NA,NA,NA,NA,NA,"519,158,503",NA,NA,NA,"281,400",NA,NA,NA,"3,405,587,432",NA,NA,NA,NA,"1,588,245,120","6,447,348,480"
i-Tail Corporation Public Company Limited,SET:ITC,"36,299,654","599,040,665","37,781,453",NA,NA,NA,NA,NA,NA,"89,072,672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,364,659,681"
DIO Corporation,KOSDAQ:A039840,"1,070,285","9,024,701","618,134",NA,"813,296",NA,NA,NA,NA,"1,073,321",NA,NA,NA,"1,669",NA,NA,"791,111",NA,NA,NA,NA,NA,"3,350,795","287,600"
Prima Marine Public Company Limited,SET:PRM,"12,471,100","995,991,300",NA,NA,NA,NA,NA,NA,"36,990,000","122,358,159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,436,999,800",NA
PT Merdeka Copper Gold Tbk,IDX:MDKA,"2,545,852,850","8,203,396,560","4,448,538",NA,NA,NA,NA,"2,589,190","350,578,311","2,678,318,825",NA,NA,NA,"17,315,299",NA,NA,NA,"4,494,361,397",NA,NA,NA,"1,182,169,807","6,271,620,719","1,347,254,738"
"Myoung Shin Industrial Co.,Ltd",KOSE:A009900,"7,000","28,466,923","247,094",NA,NA,NA,NA,"3,903,363",NA,"3,371,044",NA,NA,NA,"25,151",NA,290,NA,NA,NA,NA,"152,000",NA,"6,070,421","17,773,789"
Gokaldas Exports Limited,NSEI:GOKEX,"3,662,391","46,452,079",NA,NA,NA,NA,"678,003",NA,"1,046,829","31,004,517",NA,NA,NA,"672,611","2,096,760",NA,NA,NA,NA,NA,NA,NA,"9,123,511","1,413,513"
Asia Cement (China) Holdings Corporation,SEHK:743,"5,082,500","500,559,298",NA,NA,NA,NA,NA,NA,NA,"137,307,225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,061,209,202"
Vietnam Dairy Products Joint Stock Company,HOSE:VNM,"10,261,771","735,700,302","41,647,873",NA,NA,NA,NA,"26,542,434","8,568,817","309,465,457",NA,"69,000",NA,"455,400",NA,"2,613,396",NA,NA,"752,383,960",NA,NA,NA,"369,752,859","221,856,553"
PT Bank Rakyat Indonesia (Persero) Tbk,IDX:BBRI,"29,618,658","60,517,499,546","1,012,768,643",NA,"915,458,290",NA,"154,929,213","511,771,936",NA,"23,368,447,373","10,619,325",NA,NA,"516,985,217",NA,"18,604,300",NA,NA,NA,NA,NA,"89,089,878,346","1,153,860,154",NA
PT. Mitra Adiperkasa Tbk,IDX:MAPI,NA,"8,073,613,400","346,095,152",NA,NA,NA,NA,NA,NA,"2,493,871,960",NA,NA,NA,"21,242,651",NA,"6,021,900",NA,NA,NA,NA,NA,NA,"8,466,000,000",NA
"Chicony Power Technology Co., Ltd.",TWSE:6412,"56,753,443","131,474,816","1,080,379",NA,NA,NA,NA,NA,NA,"40,952,964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,105,273","206,706,594"
SiS Distribution (Thailand) Public Company Limited,SET:SIS,"53,828,346","126,915,844","8,711,227",NA,NA,NA,NA,NA,NA,"11,734,407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165,616,595","3,837,870"
PT Adi Sarana Armada Tbk,IDX:ASSA,"471,410,269","1,716,376,148","157,632,745",NA,NA,NA,NA,NA,NA,"27,749,607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,503,351,100",NA
Berjaya Food Berhad,KLSE:BJFOOD,"55,620,985","623,624,051","57,849,900",NA,NA,NA,NA,NA,NA,"244,291,755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48,000,000","121,752,400","922,813,688"
Modetour Network Inc.,KOSDAQ:A080160,"2,177,976","15,129,760","107,188",NA,NA,NA,NA,NA,NA,"2,735,978",NA,NA,NA,"1,978",NA,NA,NA,NA,NA,NA,"55,978",NA,NA,NA
An Gia Real Estate Investment and Development Corporation,HOSE:AGG,"9,461,646","115,656,722",NA,NA,NA,NA,NA,NA,NA,"3,398,200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escorts Kubota Limited,NSEI:ESCORTS,"3,258,671","33,039,419","896,056",NA,NA,NA,NA,NA,NA,"15,411,898","251,175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"691,225","14,191,351","59,112,970"
Torrent Power Limited,NSEI:TORNTPOWER,"21,007","206,817,714","48,579,901",NA,NA,NA,NA,NA,"6,290,860","113,611,858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16,355,752","257,422,311",NA
Stella International Holdings Limited,SEHK:1836,"88,322,794","532,683,613",NA,NA,NA,NA,NA,NA,NA,"66,268,699",NA,NA,NA,"40,125",NA,"14,500",NA,NA,NA,NA,NA,NA,"173,508,593",NA
Accelya Solutions India Limited,NSEI:ACCELYA,"117,630","3,585,771",NA,NA,NA,NA,"1,091,733",NA,"44,787","60,867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66,265","11,156,595",NA
Gia Lai Electricity Joint Stock Company,HOSE:GEG,"1,987,902","89,298,955",NA,NA,NA,NA,NA,NA,NA,"365,157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"212,461,106","37,501,438"
Quess Corp Limited,NSEI:QUESS,"23,486,369","54,671,895","620,909",NA,NA,NA,NA,NA,NA,"32,021,687",NA,NA,NA,"2,322,796","2,097,034",NA,NA,NA,NA,NA,NA,"79,772","69,492,184",0
Principal Capital Public Company Limited,SET:PRINC,"2,610,200,274","595,263,877",NA,NA,NA,NA,NA,NA,NA,"4,322,561",NA,NA,NA,NA,NA,NA,NA,"222,249,300",NA,NA,NA,NA,NA,"380,857,051"
