Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS,SHARES_OWNED_INSTN_REIT,SHARES_OWNED_INSTN_UNCLASSIFIED,SHARES_OWNED_INSTN_UNION_PENSION_SPONSORS,SHARES_OWNED_INSTN_HEDGE_FUND_MGRS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_SOVEREIGN_WEALTH_FUNDS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_VC/PE_FIRMS_LESS5PCT_STAKE,SHARES_OWNED_STRATEGIC_HEDGE_FUND_MGRS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_VC/PE_FIRMS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_SOVEREIGN_WEALTH_FUNDS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_COMPANY_CONTROLLED_FOUNDATIONS,SHARES_OWNED_STRATEGIC_ESOP,SHARES_OWNED_STRATEGIC_STATE_OWNER,SHARES_OWNED_STRATEGIC_CORPORATIONS_PRIVATE,SHARES_OWNED_STRATEGIC_CORPORATIONS_PUBLIC
"Ayala Land, Inc.",PSE:ALI,"138,692,904","7,040,584,208","184,946,717",NA,NA,NA,NA,"7,125,700",NA,"1,878,206,707",NA,NA,NA,"3,141,000",NA,NA,NA,NA,NA,NA,"122,897,532","15,682,093","7,624,318,976",NA
Thai Wah Public Company Limited,SET:TWPC,"111,307,283","452,829,424",NA,NA,NA,NA,NA,NA,NA,"85,944,804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"316,284,223",NA
PT Mayora Indah Tbk,IDX:MYOR,"5,646,326,800","3,504,901,500","271,212,321",NA,NA,NA,NA,NA,NA,"553,217,935",NA,NA,NA,"2,356,698",NA,NA,NA,NA,NA,NA,NA,NA,"13,207,471,425",NA
PT Kalbe Farma Tbk.,IDX:KLBF,"112,909,052","18,957,573,673","549,445,718",NA,NA,NA,NA,"82,541,552",NA,"6,506,389,806",NA,"1,110,000",NA,"3,879,377",NA,NA,NA,NA,NA,NA,NA,NA,"27,185,158,685",NA
Ayala Corporation,PSE:AC,"4,299,869","268,592,918","10,158,619",NA,NA,NA,NA,"311,981","1,031,700","52,208,983",NA,NA,NA,"24,980",NA,NA,NA,NA,NA,NA,"4,544,410",NA,"303,904,899","38,465,329"
Perfect Medical Health Management Limited,SEHK:1830,"114,974,747","314,054,003",NA,NA,NA,NA,NA,NA,NA,"25,737,572",NA,NA,NA,NA,NA,"1,500,000",NA,NA,NA,NA,NA,NA,"827,169,021",NA
"Shin Heung Energy & Electronics Co.,Ltd.",KOSDAQ:A243840,"2,080,632","3,227,921",NA,NA,NA,NA,NA,NA,NA,"544,684",NA,NA,NA,NA,NA,NA,NA,"1,231,520",NA,NA,"12,214",NA,"1,231,520",NA
Delfi Limited,SGX:P34,"13,122,700","287,843,300",NA,NA,NA,NA,NA,NA,NA,"84,499,811",NA,NA,NA,"370,300",NA,"2,200",NA,NA,NA,NA,NA,NA,"310,191,000",NA
NetDragon Websoft Holdings Limited,SEHK:777,"228,122,035","237,464,980","2,527,246",NA,NA,NA,NA,NA,NA,"42,881,749",NA,NA,NA,"214,320",NA,"13,295,321",NA,"31,237,999",NA,NA,NA,NA,"34,437,519",NA
Khang Dien House Trading and Investment Joint Stock Company,HOSE:KDH,"53,817,107","560,813,539","11,713,130",NA,NA,NA,NA,NA,"205,700","135,536,540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"184,681,325",NA
