ciqticker,SP_COMPANY_NAME,ownership_score,insider_activity_score,final_score
SEHK:69,Shangri-La Asia Limited,1.2767206242419473,7.6546224412877075,4.548706218084337
KLSE:FFB,Farm Fresh Berhad,1.157133424007595,7.76573560801865,4.544079230617106
SET:THANI,Ratchthani Leasing Public Company Limited,1.2520217609844317,7.667229957528336,4.542104106930708
NasdaqGS:RNW,ReNew Energy Global Plc,1.2254921265908154,7.672304312356973,4.5303891060856945
PSE:UBP,Union Bank of the Philippines,1.2281631879450645,7.667349263136564,4.529142004191681
IDX:BELI,PT Global Digital Niaga Tbk,1.0228548415898968,7.86917408953678,4.5272399343961185
SEHK:1992,Fosun Tourism Group,1.2373362230036384,7.650630827470102,4.525022068386152
IDX:MIDI,PT Midi Utama Indonesia Tbk,1.0769595720136576,7.808678765098495,4.523750545499855
NasdaqGS:GRAB,Grab Holdings Limited,1.2568883833353794,7.621592050677778,4.519842190887214
SGX:P34,Delfi Limited,1.2168235526394284,7.659033195265838,4.518409607131878
NSEI:APOLLOTYRE,Apollo Tyres Limited,1.2245170896205413,7.64877008052081,4.517006567587023
IDX:BBCA,PT Bank Central Asia Tbk,1.2605733131542356,7.611387697470929,4.516282458641916
NasdaqGS:MMYT,MakeMyTrip Limited,1.2220723317585487,7.649672133948206,4.516164220895609
IDX:TOBA,PT TBS Energi Utama Tbk,1.0717197111249304,7.797536318438747,4.51480548625733
KLSE:BJFOOD,Berjaya Food Berhad,1.3084257263191488,7.547608469076346,4.507586107083836
SEHK:590,Luk Fook Holdings (International) Limited,1.1828998376278292,7.651767856383491,4.49591958085599
PSE:MBT,Metropolitan Bank & Trust Company,1.182831605413352,7.649013684557127,4.494378493235887
NSEI:PCBL,PCBL Limited,1.178584985987366,7.64877008052081,4.491926743702823
SET:FPT,Frasers Property (Thailand) Public Company Limited,1.0998796681070662,7.70734615462147,4.480935784243462
TWSE:6213,ITEQ Corporation,1.1556166917255253,7.648430839899816,4.479200375350427
IDX:AMRT,PT Sumber Alfaria Trijaya Tbk,1.1522923550259907,7.64877008052081,4.477570454706575
PSE:EW,East West Banking Corporation,1.1513748656039102,7.649245866544545,4.477329276041474
HOSE:ACB,Asia Commercial Joint Stock Bank,1.1407478121496866,7.653710878139298,4.473964681076767
SET:ITC,i-Tail Corporation Public Company Limited,1.1335074955287197,7.64877008052081,4.467313555269888
SEHK:327,PAX Global Technology Limited,1.12814621297375,7.64877008052081,4.464386190493698
PSE:BDO,"BDO Unibank, Inc.",1.0866859277467922,7.673680874038491,4.455349845440651
IDX:BFIN,PT BFI Finance Indonesia Tbk,1.2947972935486334,7.464185876442263,4.454594355511409
PSE:ALI,"Ayala Land, Inc.",1.0937384708606976,7.660540276930867,4.452025649292803
SET:SYNEX,Synnex (Thailand) Public Company Limited,1.103263818171541,7.649115061009812,4.450988283999724
IDX:BMRI,PT Bank Mandiri (Persero) Tbk,1.0077392491576895,7.742127735695007,4.449616740734875
